locus,n_samples,n_expected_alleles,n_resolved_alleles,n_pure_alleles,n_interrupted_alleles,n_unresolved_alleles,call_rate,interruption_prevalence,interruption_ci95_lower,interruption_ci95_upper,median_reported_cluster_depth
ABCD3,100,200,199,194,5,1,0.995,0.02512562814070352,0.010778689404368037,0.05745977844443617,23
AFF2,100,146,121,0,121,25,0.8287671232876712,1.0,0.969228205982621,1.0,6
AFF3,100,200,175,175,0,25,0.875,0.0,0.0,0.021480460921843688,10
AR,100,139,121,121,0,18,0.8705035971223022,0.0,0.0,0.03077179401737882,6
ARX_1,100,148,146,146,0,2,0.9864864864864865,0.0,0.0,0.025637740120233635,16.0
ARX_2,100,141,139,139,0,2,0.9858156028368794,0.0,0.0,0.026894126080917603,13
ATN1,100,200,193,0,193,7,0.965,1.0,0.9804838001723212,1.0,9
ATXN1,100,200,168,6,162,32,0.84,0.9642857142857143,0.9242816438896537,0.9835311325276981,6.0
ATXN2,100,200,190,0,190,10,0.95,1.0,0.980181756650791,1.0,10.0
ATXN3,100,200,191,4,187,9,0.955,0.9790575916230366,0.9473978534029164,0.9918266243266853,9
ATXN7,100,200,191,189,2,9,0.955,0.010471204188481676,0.002876234332972124,0.037369791156451074,12
ATXN8OS,100,200,180,180,0,20,0.9,0.0,0.0,0.02089624981505818,8.0
ATXN10,100,200,184,168,16,16,0.92,0.08695652173913043,0.054232353757765986,0.13657522028334096,8.0
BCLAF3,100,142,134,134,0,8,0.9436619718309859,0.0,0.0,0.0278696706944783,10.0
C9ORF72,100,200,197,196,1,3,0.985,0.005076142131979695,0.0008966033639121081,0.02818900439862314,13
C11ORF80,100,200,199,198,1,1,0.995,0.005025125628140704,0.0008875866694877336,0.02791123960677907,15
CACNA1A,100,200,189,189,0,11,0.945,0.0,0.0,0.019921012893483563,11
CBL,100,200,197,130,67,3,0.985,0.3401015228426396,0.2775689091099106,0.4087510564749085,14
CNBP,100,200,12,0,12,188,0.06,1.0,0.7574992425007574,1.0,3.0
COMP,100,200,200,200,0,0,1.0,0.0,0.0,0.018846005918320894,26.5
CSNK1E,100,200,196,196,0,4,0.98,0.0,0.0,0.019223224794036875,20.0
CSTB,100,200,197,197,0,3,0.985,0.0,0.0,0.01912751143189459,15
DIP2B,100,200,198,197,1,2,0.99,0.005050505050505051,0.0008920722330250878,0.02804943437413617,20.0
DMD,100,152,121,121,0,31,0.7960526315789473,0.0,0.0,0.03077179401737882,7
DMPK,100,200,198,198,0,2,0.99,0.0,0.0,0.01903274647049964,15.0
EIF4A3,100,200,94,92,2,106,0.47,0.02127659574468085,0.005854213528540098,0.07429165489552492,5.0
EP400,100,200,171,0,171,29,0.855,1.0,0.978028112302793,1.0,6
FAM193B,100,200,3,3,0,197,0.015,0.0,0.0,0.5615060804490177,10
FGF14,100,200,0,0,0,200,0.0,0.0,0.0,0.0,NA
FMR1,100,146,81,2,79,65,0.5547945205479452,0.9753086419753086,0.9143710880286573,0.9932025550898129,5
FOXL2,100,200,195,195,0,5,0.975,0.0,0.0,0.019319900865814796,19
FRA10AC1,100,200,182,182,0,18,0.91,0.0,0.0,0.020671367444102935,12.0
FXN,100,200,142,142,0,58,0.71,0.0,0.0,0.02634090684688045,6.0
GIPC1,100,200,195,188,7,5,0.975,0.035897435897435895,0.017495340587197504,0.07223236226773827,12
GLS,100,200,199,197,2,1,0.995,0.010050251256281407,0.0027604243911927527,0.0358983122782084,13
HOXA13_1,100,200,173,173,0,27,0.865,0.0,0.0,0.021723395400177335,13
HOXA13_2,100,200,177,177,0,23,0.885,0.0,0.0,0.02124289986374816,16
HOXA13_3,100,200,172,172,0,28,0.86,0.0,0.0,0.021846934968744597,14.5
HOXD13,100,200,196,0,196,4,0.98,1.0,0.9807767752059631,1.0,16.0
HTT,100,200,159,153,6,41,0.795,0.03773584905660377,0.01740719288942665,0.07987507404973387,5
JPH3,100,200,200,200,0,0,1.0,0.0,0.0,0.018846005918320894,12.0
LRP12,100,200,196,191,5,4,0.98,0.025510204081632654,0.010944401954660631,0.05831845422743559,11.0
NAXE,100,200,197,129,68,3,0.985,0.34517766497461927,0.2823198699930863,0.41395819192237343,16
NIPA1,100,200,200,200,0,0,1.0,0.0,0.0,0.018846005918320894,18.0
NOP56,100,200,197,21,176,3,0.985,0.8934010152284264,0.8425375299416088,0.9292149356830427,12
NOTCH2NLA,100,200,197,177,20,3,0.985,0.10152284263959391,0.06668500608393321,0.15160443196077467,27
NOTCH2NLC,100,200,178,2,176,22,0.89,0.9887640449438202,0.9599634213341491,0.9969133329399004,7.0
NUTM2B-AS1,100,200,199,199,0,1,0.995,0.0,0.0,0.018938915883132453,15
PABPN1,100,200,200,200,0,0,1.0,0.0,0.0,0.018846005918320894,28.0
PHOX2B,100,200,187,187,0,13,0.935,0.0,0.0,0.020129783024246284,15
PPP2R2B,100,200,199,199,0,1,0.995,0.0,0.0,0.018938915883132453,13
PRDM12,100,200,199,199,0,1,0.995,0.0,0.0,0.018938915883132453,16
PRE-MIR7-2,100,200,200,200,0,0,1.0,0.0,0.0,0.018846005918320894,24.0
PRNP,100,200,149,0,149,51,0.745,1.0,0.9748654816489752,1.0,4
RAI1,100,200,0,0,0,200,0.0,0.0,0.0,0.0,NA
RILPL1,100,200,199,192,7,1,0.995,0.035175879396984924,0.0171415481339399,0.07081674050113299,21
RUNX2,100,200,198,198,0,2,0.99,0.0,0.0,0.01903274647049964,17.0
SOX3,100,139,136,136,0,3,0.9784172661870504,0.0,0.0,0.02747108156657246,14.0
TBP,100,200,151,0,151,49,0.755,1.0,0.9751901297842439,1.0,5
TBX1,100,200,194,194,0,6,0.97,0.0,0.0,0.019417554245416534,19.0
TCF4,100,200,188,173,15,12,0.94,0.0797872340425532,0.04894563964076566,0.12745822688244934,10.0
THAP11,100,200,171,0,171,29,0.855,1.0,0.978028112302793,1.0,9
TMEM185A,100,142,138,138,0,4,0.971830985915493,0.0,0.0,0.027083732840013083,12.0
VWA1,100,200,200,199,1,0,1.0,0.005,0.0008831459893662054,0.02777439986977148,25.0
XYLT1,100,200,88,0,88,112,0.44,1.0,0.9581714604275188,1.0,12.5
ZFHX3,100,200,181,0,181,19,0.905,1.0,0.9792167996814569,1.0,12
ZIC2,100,200,198,198,0,2,0.99,0.0,0.0,0.01903274647049964,20.0
ZIC3,100,144,144,1,143,0,1.0,0.9930555555555556,0.9617143276425165,0.9987731129695979,20.0
ZNF713,100,200,198,178,20,2,0.99,0.10101010101010101,0.06634318099322406,0.15086476821050798,13.0
